NVDA,"NVIDIA Corporation"
TSLA,"Tesla, Inc."
INTC,"Intel Corporation"
AMD,"Advanced Micro Devices, Inc."
SOFI,"SoFi Technologies, Inc."
MARA,"Marathon Digital Holdings, Inc."
LCID,"Lucid Group, Inc."
BAC,"Bank of America Corporation"
F,"Ford Motor Company"
NIO,"NIO Inc."
SIRI,"Sirius XM Holdings Inc."
AAPL,"Apple Inc."
AMZN,"Amazon.com, Inc."
RIVN,"Rivian Automotive, Inc."
WBD,"Warner Bros. Discovery, Inc."
PLTR,"Palantir Technologies Inc."
PLUG,"Plug Power Inc."
TSM,"Taiwan Semiconductor Manufacturing Company Limited"
SCHW,"The Charles Schwab Corporation"
CLSK,"CleanSpark, Inc."
PFE,"Pfizer Inc."
SNAP,"Snap Inc."
AVGO,"Broadcom Inc."
RIOT,"Riot Platforms, Inc."
VFC,"V.F. Corporation"